"","Name","Pos","Odds","TGP","AG","APIM","AA","AOTG","AGW","AHat"
"407","M. Barber","D",0.0766949152542373,118,0.0423728813559322,0.330508474576271,0.0847457627118644,0,0.00847457627118644,0
"408","M. Barzal","C",1.40301204819277,166,0.349397590361446,0.734939759036145,0.909638554216867,0.0180722891566265,0.0602409638554217,0.0180722891566265
"409","M. Belesk","LW",-0.0227941176470588,68,0.0294117647058824,0.455882352941176,0,0,0,0
"410","M. Bennin","D",0.171951219512195,205,0.0780487804878049,0.560975609756098,0.190243902439024,0,0.00975609756097561,0
"411","M. Boedke","LW",0.366371681415929,226,0.128318584070796,0.106194690265487,0.345132743362832,0,0.0265486725663717,0
"412","M. Borowi","D",0.0222857142857143,175,0.0285714285714286,1.38285714285714,0.0914285714285714,0,0,0
"413","M. Calver","LW",0.173842592592593,216,0.143518518518519,0.689814814814815,0.208333333333333,0,0,0
"414","M. Cammal","C",0.166141732283465,127,0.0551181102362205,0.141732283464567,0.173228346456693,0,0,0
"415","M. Chaput","C",0.076605504587156,109,0,0.302752293577982,0.0917431192660551,0,0,0
"416","M. Cullen","C",0.178378378378378,222,0.112612612612613,0.216216216216216,0.166666666666667,0,0.0225225225225225,0
"417","M. Dano","C",0.0289855072463768,69,0.0289855072463768,0.289855072463768,0.0144927536231884,0,0.0289855072463768,0
"418","M. Del Zo","D",0.176,175,0.0457142857142857,0.365714285714286,0.194285714285714,0,0,0
"419","M. Domi","C",0.521748878923767,223,0.291479820627803,1.04484304932735,0.556053811659193,0,0.0179372197309417,0
"420","M. Duchen","C",0.492672413793103,232,0.383620689655172,0.146551724137931,0.474137931034483,0.00431034482758621,0.021551724137931,0
"421","M. Dumba","D",0.315,190,0.2,0.436842105263158,0.294736842105263,0.0105263157894737,0.0315789473684211,0
"422","M. Ekholm","D",0.403292181069959,243,0.106995884773663,0.576131687242798,0.395061728395062,0.00823045267489712,0.0288065843621399,0
