C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
297,T. Pearso,LW,VAN,80,18,9,27,25,5,4,1,3,2,0,0,0,1,0,0,0,147,-15,27,0.3,3.85,3.75,
298,J. Martin,LW,CAR,82,15,10,25,38,0,0,0,0,0,1,0,0,5,0,3,1,146,1,27,0.3,2,2,
299,J. Spezza,C,TOR,76,8,19,27,29,5,1,0,2,10,0,0,0,1,0,0,0,121,-13,27,0.4,0.7,0.7,
300,W. Nyland,RW,TOR,54,7,20,27,16,0,1,0,1,5,0,0,0,0,0,0,0,130,-4,27,0.5,9,6.96,
301,A. Goligo,D,ARI,76,3,24,27,16,0,0,0,1,6,0,2,0,0,0,0,0,102,-7,27,0.4,5.8,5.48,
302,S. Bennet,C,CAL,71,13,14,27,93,25,0,0,4,2,0,0,0,2,0,0,0,115,-6,27,0.4,2.55,2.55,
303,C. Wilson,C,COL,65,12,15,27,8,0,0,0,5,2,0,0,0,2,0,0,0,104,-6,27,0.4,2.6,2.6,
304,N. Goldob,RW,VAN,63,7,20,27,18,0,5,0,1,8,0,1,0,1,0,0,0,105,-10,27,0.4,0.9,0.9,
305,M. Mathes,D,FLA,75,8,19,27,44,0,0,0,0,6,0,2,1,2,0,0,0,129,-24,27,0.4,3.5,4.88,
306,A. Steen,LW,STL,65,10,17,27,14,0,1,0,2,3,1,1,0,0,0,0,0,114,2,27,0.4,5.5,5.75,
307,B. Boyle,C,NAS,73,18,6,24,38,10,3,1,7,2,1,1,0,4,0,0,1,123,-14,26,0.4,-,-,
308,N. Bjugst,C,PIT,64,14,12,26,30,0,1,0,2,4,0,0,0,2,0,0,0,154,6,26,0.4,5,4.1,
309,B. McGinn,LW,CAR,82,10,16,26,20,0,3,1,0,0,1,0,0,0,0,2,0,123,10,26,0.3,1.9,2.1,
310,M. Green,D,DET,43,5,21,26,28,0,0,0,0,3,0,0,0,0,0,0,0,92,-1,26,0.6,5.25,5.38,
311,I. Provor,D,PHI,82,7,19,26,32,0,0,0,0,2,0,0,0,1,0,0,0,145,-16,26,0.3,6.75,6.75,
312,R. Hartma,RW,MIN,83,12,14,26,74,10,0,0,0,0,0,0,0,2,0,1,0,145,1,26,0.3,1.9,1.9,
313,M. Joseph,RW,TB,70,13,13,26,26,0,0,0,0,0,0,2,0,1,0,0,0,95,5,26,0.4,0.7,0.73,
314,L. Komaro,RW,NYI,82,6,20,26,42,0,1,0,0,0,0,0,0,1,0,1,0,78,18,26,0.3,3.5,3,
