C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
347,H. Lindho,D,ANA,66,6,14,20,36,0,1,0,1,4,0,0,0,2,0,0,0,94,13,20,0.3,5.25,5.21,
348,J. Morris,D,WIN,82,6,14,20,38,0,0,0,1,0,0,0,0,3,0,0,0,99,6,20,0.2,3.15,3.15,
349,C. Clutte,RW,NYI,66,5,15,20,28,0,2,0,0,1,0,0,0,1,0,0,0,115,2,20,0.3,3.5,3.5,
350,T. Hickey,D,NYI,76,4,16,20,35,5,1,1,0,3,0,0,2,2,0,0,0,87,-1,20,0.3,2.5,2.5,
351,J. McCabe,D,BUF,76,3,17,20,26,0,0,0,1,3,0,0,0,1,0,0,0,79,-7,20,0.3,2.85,2.85,
352,B. Pesce,D,CAR,82,2,18,20,20,0,0,0,0,2,0,0,0,0,0,0,0,109,23,20,0.2,4.03,4.03,
353,J. Armia,RW,MON,57,10,9,19,20,0,0,0,0,2,4,0,0,1,0,0,0,111,-8,19,0.3,2.8,2.6,
354,M. Read,RW,TOR,63,10,9,19,8,0,1,0,2,0,1,0,0,2,0,0,0,92,3,19,0.3,-,-,
355,B. Bennet,RW,ARI,65,8,11,19,20,0,0,0,1,1,0,0,0,1,0,0,0,101,-3,19,0.3,0.73,0.73,
356,T. Wilson,RW,WAS,82,7,12,19,133,45,0,0,0,0,0,0,0,0,0,1,0,95,9,19,0.2,4.5,5.17,
357,B. Hutton,D,LA,71,5,14,19,31,5,0,0,2,9,0,0,1,1,0,0,0,130,-22,19,0.3,1.5,1.5,
358,T. Daley,D,DET,56,5,14,19,37,5,0,0,1,3,0,1,0,0,0,0,0,84,7,19,0.3,2.2,3.17,
359,A. Larsso,D,EDM,79,4,15,19,55,5,0,0,0,0,0,0,0,0,0,0,0,85,21,19,0.2,5.05,4.17,
360,C. Franso,D,CHI,68,3,16,19,34,0,0,0,1,1,0,0,0,0,0,0,0,93,-5,19,0.3,-,-,
361,M. Hunwic,D,BUF,72,1,18,19,18,0,0,0,0,0,0,0,0,0,0,0,0,73,8,19,0.3,1.75,2.25,
362,R. Bourqu,LW,COL,65,12,6,18,56,5,0,0,2,0,0,0,1,2,0,0,0,111,-19,18,0.3,-,-,
363,S. Upshal,LW,DAL,73,10,8,18,45,5,0,0,0,0,2,0,0,1,0,2,0,85,-1,18,0.2,-,-,
364,F. Vatran,C,FLA,44,10,8,18,14,0,1,0,4,1,0,0,0,1,0,0,0,116,-3,18,0.4,2.53,2.53,
365,B. Pirri,C,VEG,60,8,10,18,25,5,1,0,5,4,0,0,0,3,0,0,0,96,-8,18,0.3,0.78,0.78,
366,P. Sharp,C,CHI,48,8,10,18,31,5,1,0,1,0,1,0,0,0,0,2,0,146,-22,18,0.4,-,-,
367,D. Caggiu,LW,CHI,60,7,11,18,16,0,0,0,2,3,0,1,0,2,0,0,0,93,3,18,0.3,1.5,1.5,
368,E. Lindel,D,DAL,73,6,12,18,22,0,0,0,0,2,0,0,1,2,0,0,0,99,8,18,0.2,7,5.8,
369,M. Del Zo,D,ANA,51,6,12,18,28,0,0,0,0,1,0,1,0,0,0,0,0,92,-5,18,0.4,0.75,0.75,
370,S. Prince,C,NYI,50,5,13,18,18,0,0,0,1,2,0,0,0,2,0,0,0,71,-9,18,0.4,-,-,
371,N. Hjalma,D,ARI,73,5,13,18,20,0,0,0,0,0,0,1,0,0,0,0,0,61,12,18,0.2,6,5,
372,D. Widema,D,CAL,57,5,13,18,32,0,0,0,2,3,0,0,0,1,0,0,0,87,-6,18,0.3,-,-,
373,F. Beauch,D,ANA,81,5,13,18,32,0,0,0,0,3,0,0,0,1,0,0,0,132,-14,18,0.2,-,-,
374,A. Quine,C,CAL,61,5,13,18,8,0,1,0,2,1,0,0,0,1,0,0,0,82,-2,18,0.3,0.74,0.74,
375,A. MacDon,D,CAL,73,2,16,18,26,0,0,0,0,0,0,1,0,0,0,0,0,65,-5,18,0.2,-,-,
376,D. Schlem,D,MON,62,2,16,18,14,0,0,0,1,2,0,0,1,1,0,0,0,118,4,18,0.3,-,-,
377,D. Forbor,D,LA,82,2,16,18,54,10,0,0,0,0,0,1,0,0,0,0,0,100,8,18,0.2,2.8,2.53,
378,A. Copp,C,WIN,64,9,8,17,18,0,0,0,0,0,1,0,0,1,0,0,0,77,8,17,0.3,2.26,2.28,
379,J. McGinn,LW,CAR,72,9,8,17,23,5,0,0,0,2,0,0,0,2,0,0,0,116,-23,17,0.2,-,-,
380,M. Wood,LW,NJ,60,8,9,17,86,30,0,0,2,2,0,0,0,0,0,0,0,105,-21,17,0.3,2.5,2.75,
381,T. Mitche,C,LA,78,8,9,17,38,10,0,0,0,0,0,0,0,1,0,1,0,68,5,17,0.2,-,-,
382,D. Helm,LW,DET,50,8,9,17,20,0,1,0,2,2,0,1,0,1,0,1,0,98,-6,17,0.3,3,3.85,
383,M. Mathes,D,FLA,81,7,10,17,36,0,0,0,0,1,0,1,0,0,0,0,0,179,-5,17,0.2,3.5,4.88,
384,R. Nash,C,CLB,81,7,10,17,14,0,2,1,0,0,1,2,0,2,0,0,0,125,-1,17,0.2,2.75,2.75,
385,J. Donsko,RW,COL,61,6,11,17,10,0,0,0,1,3,0,0,0,0,0,0,0,95,-5,17,0.3,4.9,3.9,
386,N. Shore,C,TOR,70,6,11,17,20,0,0,0,0,0,1,0,0,1,0,0,0,79,-2,17,0.2,0.75,0.75,
387,J. Manson,D,ANA,82,5,12,17,82,30,0,0,0,0,1,1,0,1,0,0,0,88,14,17,0.2,4.25,4.1,
388,A. Watson,LW,NAS,77,5,12,17,99,65,0,0,0,0,0,1,0,0,0,0,0,90,14,17,0.2,1.2,1.1,
389,C. Widema,D,ANA,76,5,12,17,46,10,0,0,1,4,0,0,0,1,0,0,0,123,7,17,0.2,0.7,0.7,
390,B. Campbe,D,CHI,80,5,12,17,24,0,0,0,2,3,0,0,0,1,0,0,0,74,12,17,0.2,-,-,
391,M. Kruger,C,CHI,70,5,12,17,34,0,0,0,0,0,0,0,0,0,0,1,0,83,7,17,0.2,-,-,
392,J. Benn,D,VAN,71,4,13,17,28,0,0,0,0,2,0,1,0,1,0,1,0,68,-4,17,0.2,2.4,2,
393,M. Pysyk,D,FLA,82,4,13,17,10,0,0,0,0,0,0,0,0,0,0,0,0,86,0,17,0.2,3.5,2.73,
394,R. Hainse,D,OTT,72,4,13,17,21,5,0,0,0,0,1,2,1,1,0,0,0,71,-8,17,0.2,3.5,3.5,
395,N. Nester,D,MON,48,4,13,17,24,0,0,0,1,1,0,0,0,0,0,0,0,63,0,17,0.4,-,-,
